id;name;description;active;is_super_admin
1;oxidize on perky;oof worriedly;false;true
2;on accompanist;digestive yowza;true;true
3;elastic creak scornful;individual;false;false
4;unless;concerning rebound save;false;true
5;collaboration;sympathetically;false;false
6;beyond neatly moment;retrospectivity;true;false
7;unpleasant offset inside;softly gigantic anti;false;false
8;at bootleg bravely;hippodrome jovially ick;false;true
9;aboard without headline;minority;false;false
10;essential fess;from;true;true
